Data;Abertura;Máxima;Mínima;Fechamento;Trades;Volume Financeiro
24/10/2022;31187.32;31603.63;31161.41;31499.62;0;1,08E+13
21/10/2022;30291.18;31119.27;30206.28;31082.56;0;1,29E+13
20/10/2022;30411.92;30822.96;30265.2;30333.59;0;1,01E+13
19/10/2022;30439.04;30662.11;30226.9;30423.81;0;9,56E+12
18/10/2022;30697.52;30837.9;30301.83;30523.8;0;1,18E+13
17/10/2022;30059.58;30311.95;29997.62;30185.82;0;1,12E+13
14/10/2022;30192.21;30428.82;29614.3;29634.83;0;1,13E+13
13/10/2022;28755.83;30168.54;28660.94;30038.72;0;1,39E+13
12/10/2022;29233.06;29455.12;29136.03;29210.85;0;8,92E+12
11/10/2022;29085.2;29608.42;29074.23;29239.19;0;1,03E+13
10/10/2022;29419.09;29485.82;29010.41;29202.88;0;9,23E+12
07/10/2022;29685.27;29685.27;29142.66;29296.79;0;1,08E+13
06/10/2022;30206.13;30329.61;29859.34;29926.94;0;9,22E+12
05/10/2022;30078.36;30454.46;29886.44;30273.87;0;8,77E+12
04/10/2022;29826.67;30325.05;29826.67;30316.32;0;1,13E+13
03/10/2022;28855.25;29647.79;28855.25;29490.89;0;1,17E+13
30/09/2022;29123.03;29355.78;28715.85;28725.51;0;1,35E+13
29/09/2022;29513.73;29513.73;28997.34;29225.61;0;1,14E+13
28/09/2022;29198.92;29811.78;29114.97;29683.74;0;1,29E+13
27/09/2022;29419.88;29659.12;28958.22;29134.99;0;1,04E+13
26/09/2022;29536.84;29630.77;29161.12;29260.81;0;1,09E+13
23/09/2022;29955.65;29955.65;29250.47;29590.41;0;1,15E+13
22/09/2022;30204.52;30302.28;29994.53;30076.68;0;1,00E+13
21/09/2022;30819.39;31020.79;30181.99;30183.78;0;1,08E+13
20/09/2022;30888.53;30888.53;30465.91;30706.23;0;9,75E+12
19/09/2022;30722.86;31026.89;30559.37;31019.68;0;8,99E+12
16/09/2022;30866.61;30866.61;30550.08;30822.42;0;1,92E+13
15/09/2022;31124.68;31277.69;30882.08;30961.82;0;1,07E+13
14/09/2022;31141.02;31276.82;30885.02;31135.09;0;1,09E+13
13/09/2022;32006.5;32006.5;31018.54;31104.97;0;1,35E+13
12/09/2022;32159.49;32504.04;32159.49;32381.34;0;1,10E+13
09/09/2022;31876.22;32227.74;31876.22;32151.71;0;1,00E+13
08/09/2022;31481.95;31783.37;31321.5;31774.52;0;1,07E+13
07/09/2022;31145.63;31644.34;31095.21;31581.28;0;1,09E+13
06/09/2022;31343.79;31463.89;31048.46;31145.3;0;1,08E+13
02/09/2022;31848.5;32026.9;31182.09;31318.44;0;9,60E+12
01/09/2022;31454.58;31677.51;31219.75;31656.42;0;1,06E+13
31/08/2022;31827.15;31966.04;31509.59;31510.43;0;1,24E+13
30/08/2022;32163.84;32205.66;31647.22;31790.87;0;1,01E+13
29/08/2022;32188;32325.16;31972.79;32098.99;0;1,02E+13
26/08/2022;33293.43;33364.7;32278.22;32283.4;0;1,14E+13
25/08/2022;33029.27;33306.09;32889.85;33291.78;0;1,02E+13
24/08/2022;32899.01;33095.5;32828.56;32969.23;0;8,48E+12
23/08/2022;33033.52;33138.26;32858.89;32909.59;0;8,32E+12
22/08/2022;33586.59;33586.59;33007.63;33072.87;0;8,45E+12
19/08/2022;33904.69;33904.69;33627.09;33704.04;0;8,27E+12
18/08/2022;33981.86;34043.83;33844.46;34005.34;0;8,45E+12
17/08/2022;34029.55;34161.01;33828.41;33979.44;0;8,43E+12
16/08/2022;33924.35;34281.36;33852.57;34154.91;0;8,47E+12
15/08/2022;33710.7;33954.71;33582.96;33911.57;0;7,57E+12
12/08/2022;33430.72;33767.09;33398.32;33755.9;0;8,31E+12
11/08/2022;33451.51;33651.8;33289.83;33331.36;0;8,91E+12
10/08/2022;33130.63;33364.41;33130.63;33304.23;0;8,56E+12
09/08/2022;32807.36;32877.53;32702.66;32778.69;0;7,82E+12
08/08/2022;32877.36;33109.96;32769.1;32830.76;0;7,96E+12
05/08/2022;32593.9;32814.61;32489.62;32796.06;0;7,77E+12
04/08/2022;32805.69;32829.22;32652.63;32729.66;0;9,00E+12
03/08/2022;32514.21;32912.74;32514.21;32810.79;0;9,58E+12
02/08/2022;32691.29;32772.93;32387.12;32401.14;0;8,91E+12
01/08/2022;32755.71;32972.03;32640.79;32795.25;0;9,04E+12
29/07/2022;32515.62;32910.18;32493.02;32853.14;0;1,28E+13
28/07/2022;32197.62;32609.54;31982.61;32518.52;0;9,25E+12
27/07/2022;31865.05;32336.23;31799.43;32188.7;0;9,98E+12
26/07/2022;31950.04;31950.04;31705.36;31755.67;0;9,01E+12
25/07/2022;31950.93;32029.03;31821.67;31984.34;0;7,07E+12
22/07/2022;32167.92;32219.25;31731.47;31904.17;0;8,88E+12
21/07/2022;31826.49;32037.41;31534.08;32037.23;0;8,31E+12
20/07/2022;31884.16;31944.45;31676.06;31870.17;0;5,07E+12
19/07/2022;31165.91;31842.25;31165.91;31812.53;0;1,00E+13
18/07/2022;31475.98;31644.68;30982.97;31064.48;0;8,06E+12
15/07/2022;30775.37;31287.5;30775.37;31272.86;0;8,32E+12
14/07/2022;30451.8;30680.12;30143.93;30628.72;0;8,65E+12
13/07/2022;30743.63;30979.17;30514.61;30766.6;0;7,64E+12
12/07/2022;31113.31;31346.1;30860.51;30999.35;0;8,79E+12
11/07/2022;31277.98;31367.55;31114.4;31177.63;0;6,26E+12
08/07/2022;31348.43;31511.46;31212.45;31338.97;0;6,44E+12
07/07/2022;31190.65;31421.84;31154.64;31374.53;0;7,48E+12
06/07/2022;30957.3;31224.69;30794.84;31036.23;0;7,64E+12
05/07/2022;30903.12;30969.4;30355.12;30969.27;0;8,20E+12
01/07/2022;30737.77;31139.35;30487.79;31096.2;0;8,10E+12
30/06/2022;30790;30979.85;30431.87;30824;0;9,42E+12
29/06/2022;31067.41;31152.96;30894.53;31020.05;0;7,28E+12
28/06/2022;31549.05;31885.09;30934.33;30947.48;0;9,24E+12
27/06/2022;31533.6;31598.59;31351.37;31444.82;0;7,83E+12
24/06/2022;30846.94;31505.59;30846.94;31502.86;0;9,55E+12
23/06/2022;30570.33;30715.63;30293.4;30682.4;0;9,63E+12
22/06/2022;30352.57;30777.92;30166.01;30467.71;0;8,64E+12
21/06/2022;30074.69;30653.98;30074.69;30539.55;0;8,90E+12
17/06/2022;29912.7;30167.52;29653.29;29877.27;0;1,29E+13
16/06/2022;30305.74;30305.74;29740.35;29940.68;0;1,12E+13
15/06/2022;30570.5;31011.97;30185.08;30663.36;0;1,03E+13
14/06/2022;30592.34;30690.8;30144.23;30371.88;0;9,50E+12
13/06/2022;31144.91;31144.91;30373.72;30531.63;0;1,24E+13
10/06/2022;32053.52;32053.52;31387.84;31387.84;0;9,77E+12
09/06/2022;32828.62;32956.73;32267.78;32272.44;0;7,95E+12
08/06/2022;33087.07;33156.5;32824.37;32910.2;0;7,60E+12
07/06/2022;32783.03;33207.45;32641.85;33174.86;0;7,47E+12
06/06/2022;33032.04;33235.37;32819.5;32913.08;0;7,09E+12
03/06/2022;32986.32;33135.61;32839.21;32896.89;0;8,36E+12
02/06/2022;32809.01;33245.48;32509.43;33245.48;0;9,76E+12
01/06/2022;33156.31;33272.34;32584.76;32814.51;0;9,81E+12
31/05/2022;33160.59;33240.22;32752.34;33010.75;0;1,05E+13
27/05/2022;32735.09;33212.24;32682.01;33209.93;0;8,94E+12
26/05/2022;32248.17;32774.14;32248.17;32637.16;0;9,61E+12
25/05/2022;31816.31;32254.44;31754.33;32121.13;0;9,41E+12
24/05/2022;31717.61;32014.86;31365.59;31950.73;0;1,08E+13
23/05/2022;31395.89;31968.42;31395.89;31875.3;0;1,10E+13
20/05/2022;31426.94;31515.78;30635.76;31258.7;0;1,36E+13
19/05/2022;31262.62;31569.13;31016.41;31249.77;0;1,47E+13
18/05/2022;32468.67;32468.67;31393.95;31505.09;0;1,25E+13
17/05/2022;32427;32689.14;32308.15;32656.34;0;1,11E+13
16/05/2022;32152.15;32514.02;31928.18;32238.71;0;9,16E+12
13/05/2022;31963.86;32276.05;31862.79;32196.73;0;1,09E+13
12/05/2022;31699.04;31914.46;31228.22;31745.36;0;1,53E+13
11/05/2022;32123.24;32584.02;31798.86;31832.89;0;1,27E+13
10/05/2022;32504.09;32752.17;31887.89;32163.31;0;1,22E+13
09/05/2022;32685.17;32685.17;32121.98;32261.14;0;1,34E+13
06/05/2022;32773.88;33055.84;32474.69;32910.15;0;1,21E+13
05/05/2022;33854.17;33854.17;32685.1;33032.6;0;1,26E+13
04/05/2022;33171.8;34117.74;33021.84;34056.54;0;1,22E+13
03/05/2022;33086.09;33341.58;32914.75;33117.77;0;1,06E+13
02/05/2022;32978.49;33224.95;32449.87;33066.91;0;1,33E+13
29/04/2022;33787.01;33919.59;32913.15;32973.17;0;1,34E+13
28/04/2022;33425.96;34054.79;33248.46;33933.66;0;1,32E+13
27/04/2022;33450.92;33697.18;33108.89;33295.76;0;1,34E+13
26/04/2022;33907.49;33909.51;33234.91;33240.38;0;1,12E+13
