Data;Abertura;Máxima;Mínima;Fechamento
13/07/2022;28.13;28.48;27.98;28.25
12/07/2022;28.3;28.43;27.97;28.23
11/07/2022;28.32;28.79;28.25;28.66
08/07/2022;28.53;28.97;28.37;28.8
07/07/2022;28;28.92;28;28.48
06/07/2022;28.16;28.48;26.91;27.67
05/07/2022;28.9;28.95;27.55;28.03
04/07/2022;28.54;29.28;28.54;29.14
01/07/2022;28.08;28.85;27.52;28.53
30/06/2022;27.65;28.06;27.4;27.93
29/06/2022;28.48;28.82;27.84;28.08
28/06/2022;28.58;28.83;28.02;28.33
27/06/2022;26.82;28.07;26.66;27.98
24/06/2022;26.76;27.09;26.18;26.29
23/06/2022;26.98;27.38;26.12;26.49
22/06/2022;26.58;27.55;26.39;26.99
21/06/2022;27.8;28.16;26.69;27.07
20/06/2022;26.02;28.25;25.91;27.62
17/06/2022;28.17;28.45;26.13;27.31
15/06/2022;30;30.02;28.84;29.08
14/06/2022;29.66;30.25;29.24;29.6
13/06/2022;29.02;29.58;28.67;29.27
10/06/2022;30.01;30.01;29.06;29.65
09/06/2022;30.51;30.66;29.98;30.07
08/06/2022;30.42;31.15;30.33;30.51
07/06/2022;30.19;31.3;30.16;30.66
06/06/2022;30.5;30.53;29.91;30.3
03/06/2022;29.71;30.44;29.53;30.28
02/06/2022;29.97;30.05;29.55;29.76
01/06/2022;29.9;30.33;29.85;30.02
31/05/2022;30.41;30.62;29.81;30.06
30/05/2022;30.84;30.87;29.12;29.99
27/05/2022;32.15;32.15;30.57;30.6
26/05/2022;32.02;32.56;31.95;32.13
25/05/2022;31.7;32.28;31.26;32.05
24/05/2022;31.2;32.09;30.71;31.6
23/05/2022;35.18;36.31;35.15;36.2
20/05/2022;34.59;34.83;34.25;34.83
19/05/2022;33.52;34.29;33.33;34.17
18/05/2022;34.18;34.56;33.43;33.6
17/05/2022;35;35.14;34.14;34.16
16/05/2022;34.25;34.88;34.01;34.61
13/05/2022;34.1;34.44;33.9;34.27
12/05/2022;33.26;34.08;33.26;33.83
11/05/2022;32.78;33.91;32.69;33.57
10/05/2022;32.36;32.85;32.2;32.44
09/05/2022;32.7;33.04;32.06;32.16
06/05/2022;32.69;33.12;31.9;33.06
05/05/2022;31.81;32.5;31.02;32.01
04/05/2022;30.6;32.17;30.4;32.07
03/05/2022;30.12;30.39;29.82;30.25
02/05/2022;30.17;30.33;29.33;29.98
29/04/2022;30.75;31.59;30.28;30.28
28/04/2022;30.45;30.62;30.25;30.26
27/04/2022;30.37;30.56;29.95;30.06
26/04/2022;30.11;30.58;29.89;30.06
25/04/2022;29.97;30.44;29.54;30.11
22/04/2022;31.05;31.3;30.32;30.56
20/04/2022;31.65;31.95;31.33;31.8
19/04/2022;31.16;32;31.12;31.65
18/04/2022;31.16;31.39;30.47;30.72
14/04/2022;31.6;32.07;31.16;31.27
13/04/2022;34.37;34.8;34.1;34.57
12/04/2022;34.4;34.68;33.8;33.85
11/04/2022;33.9;34.1;33.78;33.95
08/04/2022;34.07;34.41;33.85;34.21
07/04/2022;32.64;34.06;32.5;34.04
06/04/2022;32.6;32.78;32.04;32.36
05/04/2022;32.66;33.06;32.39;32.39
04/04/2022;32.9;32.9;32.25;32.7
